,Data,transitivity,grauMedio,average_path_length,modularity,global_average_link_distance,eccentricity,eigenvector,coreness,links,oni,flag
321,1976-10-01,0.7435579178186303,39.873951781970646,21.584704904165868,0.6863066258619522,0.0005169552449605623,24.23584905660377,0.04300578565933698,25.903170859538783,152159,0.81,1
322,1976-11-01,0.7382366958523815,41.47117400419288,17.30338332939101,0.67202360914758,0.0005182393684924682,23.10835953878407,0.04481224621978522,26.90998427672956,158254,0.86,1
323,1976-12-01,0.7307118698326597,42.51860587002096,19.04748691410161,0.6647030366480573,0.0005246392757120603,23.91339098532495,0.04570738193502067,27.36700733752621,162251,0.85,1
324,1977-01-01,0.7136686337651129,38.659067085953886,21.503428411969605,0.6862104348035406,0.0003853184775433456,25.113600628930822,0.041047709420484566,24.54769392033543,147523,0.71,1
325,1977-02-01,0.6794834632030534,33.965408805031444,18.599659627905265,0.7693490704640205,0.00024725293460556736,34.000393081761004,0.033299265439420606,21.196278825995808,129612,0.64,1
326,1977-03-01,0.6313888892179849,30.14491614255765,19.076444641148445,0.8043006080908305,0.00017371067282189026,34.941168763102716,0.02606741243316693,18.393474842767297,115033,0.34,0
327,1977-04-01,0.6139490044874999,28.07520964360587,21.635965870207773,0.8373060908055836,0.00012652381592346382,25.43736897274633,0.02110640670001842,17.06590670859539,107135,0.23,0
328,1977-05-01,0.5721507667940176,26.07520964360587,20.825121834226326,0.8409296866653556,9.999345812518036e-05,27.82101677148847,0.014115755387187503,15.707940251572325,99503,0.21,0
329,1977-06-01,0.5695810974212601,24.715670859538783,21.146665771059073,0.8434009668157806,9.029838176084972e-05,28.78603249475891,0.009576763843686244,14.966457023060794,94315,0.34,0
330,1977-07-01,0.5751412666021799,24.29009433962264,22.05981360647717,0.8485347010598832,8.909832351178165e-05,30.0167714884696,0.008776401996641163,14.729035639412999,92691,0.35,0
331,1977-08-01,0.5805771358693974,23.93317610062893,19.492497535018668,0.8465749887933429,8.621050611524405e-05,31.804376310272538,0.008756172689820022,14.571278825995805,91329,0.42,0
332,1977-09-01,0.5833988422313884,24.047169811320753,21.435820306501093,0.843601805595465,8.727558500956532e-05,31.719732704402517,0.009559303062604493,14.653694968553461,91764,0.57,1
333,1977-10-01,0.5804781621682561,24.26362683438155,21.37143941036053,0.8454431152131439,9.073681902854376e-05,31.61949685534591,0.009857751538197727,14.747248427672956,92590,0.73,1
334,1977-11-01,0.5786006107002641,24.150157232704395,23.577281182597627,0.8420492778578191,8.552370145285976e-05,36.46999475890985,0.008791652261977137,14.669680293501045,92157,0.81,1
335,1977-12-01,0.5745700611292671,23.84931865828092,24.646245096479745,0.8480064446630987,8.240811812539644e-05,38.401991614255756,0.008075171887080913,14.54756289308176,91009,0.79,1
336,1978-01-01,0.5693903767482018,23.7458071278826,40.34215434697981,0.8443625860703717,8.083173876480238e-05,38.40513626834382,0.0065555126531568,14.411425576519914,90614,0.69,1
